# Rust crates compiled into lib/arm64-v8a/libnav_graph_core.so — GENERATED.
#
# Regenerate with:  python3 tools/gen_rust_license_bundle.py
# Consumed by :app:generateLicenseIndex; the licence texts live under
# app/src/main/assets/licenses/texts/rust/. See docs/licenses.md.
#
# Columns: name | licence | version | licence text file(s) | notice file | provenance
#
# Iteration order is name-sorted so regeneration is byte-deterministic.
anstream	MIT OR Apache-2.0	1.0.0	licenses/texts/rust/anstream-LICENSE-APACHE,licenses/texts/rust/anstream-LICENSE-MIT	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
anstyle	MIT OR Apache-2.0	1.0.14	licenses/texts/rust/anstream-LICENSE-APACHE,licenses/texts/rust/anstream-LICENSE-MIT	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
anstyle-parse	MIT OR Apache-2.0	1.0.0	licenses/texts/rust/anstream-LICENSE-APACHE,licenses/texts/rust/anstream-LICENSE-MIT	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
anstyle-query	MIT OR Apache-2.0	1.1.5	licenses/texts/rust/anstream-LICENSE-APACHE,licenses/texts/rust/anstream-LICENSE-MIT	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
anyhow	MIT OR Apache-2.0	1.0.103	licenses/texts/rust/anyhow-LICENSE-APACHE,licenses/texts/rust/anyhow-LICENSE-MIT	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
askama	MIT OR Apache-2.0	0.12.1	licenses/texts/rust/askama-LICENSE-APACHE,licenses/texts/rust/askama-LICENSE-MIT	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
askama_derive	MIT/Apache-2.0	0.12.5	licenses/texts/rust/askama-LICENSE-APACHE,licenses/texts/rust/askama-LICENSE-MIT	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
askama_escape	MIT OR Apache-2.0	0.10.3	licenses/texts/rust/askama-LICENSE-APACHE,licenses/texts/rust/askama-LICENSE-MIT	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
askama_parser	MIT OR Apache-2.0	0.2.1	licenses/texts/rust/askama-LICENSE-APACHE,licenses/texts/rust/askama-LICENSE-MIT	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
basic-toml	MIT OR Apache-2.0	0.1.10	licenses/texts/rust/anyhow-LICENSE-APACHE,licenses/texts/rust/anyhow-LICENSE-MIT	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
