# InstantJPDict bundled-licence index — GENERATED, do not edit by hand.
#
# Everything the APK bundles that carries a licence: the app itself, its
# Gradle runtime dependencies, the vendored native libraries, the OCR and
# kana models, and the dictionary data derived from upstream corpora.
#
# Regenerate with:  ./gradlew :app:generateLicenseIndex
# Coverage is enforced: :app:verifyLicenseIndex (a preBuild dependency)
# fails when a dependency is added without an entry in app/licenses/maven.tsv.
# Rust crates: tools/gen_rust_license_bundle.py.  Docs: docs/licenses.md.
#
# TAB-separated columns:
#   name | licence label | version | licence text file(s) | notice file | provenance
# Licence text and notice paths are relative to app/src/main/assets/.
# '#' at the start of a line is a comment; blank lines are ignored.
#
# ---- the app and its bundled components (app/licenses/components.tsv) ----------
InstantJPDict (the app itself)	AGPL-3.0-only	-	licenses/texts/agpl-3.0.txt	-	repo LICENSE at the root of InstantJPDict (copied verbatim by the task, so it cannot drift)
ncnn	BSD-3-Clause	vgf89-ncnn@a2b8507f	licenses/texts/bsd-3-clause-ncnn.txt	licenses/notices/ncnn.txt	LICENSE.txt at the pinned fork commit (raw.githubusercontent.com)
PP-OCRv6 small (PaddleOCR det+rec)	Apache-2.0	PP-OCRv6_small@28fe5895c24f	licenses/texts/apache-2.0.txt	licenses/notices/paddleocr-pp-ocrv6.txt	Hugging Face model cards PaddlePaddle/PP-OCRv6_small_{det_onnx,rec_safetensors}: license apache-2.0
kana-size model (nb_all)	CC-BY-SA-4.0	nb_all	licenses/texts/cc-by-sa-4.0.txt	licenses/notices/kana-size-model.txt	licence assigned by the app author to the trained weights, matching the Wikipedia half of the corpus (Aozora is public domain); code that trains, converts and runs it is AGPL-3.0
char n-gram language model (char_lm.bin)	Public domain (Aozora Bunko)	-	-	licenses/notices/aozora-char-lm.txt	assets/lm/PROVENANCE.txt (Aozora Bunko is public domain / free to redistribute)
KRADFILE kanji components (EDRDG)	CC-BY-SA-4.0	-	licenses/texts/cc-by-sa-4.0.txt,licenses/texts/edrdg-licence.txt	licenses/notices/edrdg-kradfile-jmdict.txt	https://www.edrdg.org/edrdg/licence.html (KRADFILE named; CC BY-SA 4.0)
Kanjium pitch accents	CC-BY-SA-4.0	685d4d723d6d	licenses/texts/cc-by-sa-4.0.txt	licenses/notices/kanjium-pitch-accents.txt	upstream LICENSE.txt at the pinned commit (raw.githubusercontent.com)
Unihan kanji variants (Unicode)	Unicode-License-V3	Unicode-17.0.0	licenses/texts/unicode-licence-v3.txt	licenses/notices/unihan-variants.txt	https://www.unicode.org/license.txt (Unihan_Variants.txt in UCD 17.0.0)
Yomichan/Yomitan deinflection rules	GPL-3.0-only	FooSoft/yomichan@master	licenses/texts/gpl-3.0.txt	licenses/notices/yomichan-deinflect.txt	deinflect.json is JSON-identical to upstream ext/data/deinflect.json; repo API reports yomidevs/yomitan as GPL-3.0
nav_graph_core (Rust library in the APK)	MPL-2.0+MIT+Apache-2.0	see crate entries	licenses/texts/mpl-2.0.txt,licenses/texts/apache-2.0.txt	licenses/notices/nav-graph-core.txt	Cargo.lock closure; per-crate entries below carry each crate's own licence text
LLVM OpenMP runtime (libomp.so)	Apache-2.0 WITH LLVM-exception	NDK-28.2.13676358	licenses/texts/apache-2.0-with-llvm-exception.txt	licenses/notices/llvm-openmp.txt	LLVM LICENSE.TXT upstream; libomp.so packaged from the pinned NDK clang runtime

# ---- Gradle runtime dependencies — 78 modules (resolved classpath) -------------
androidx.activity:activity	Apache-2.0	1.8.0	licenses/texts/apache-2.0.txt	-	POM <licenses> of each resolved androidx module on Google Maven (dl.google.com/dl/android/maven2/.../*.pom) — "The Apache Software License, Version 2.0", checked 2026-09-13
androidx.annotation:annotation-experimental	Apache-2.0	1.5.0	licenses/texts/apache-2.0.txt	-	POM <licenses> of each resolved androidx module on Google Maven (dl.google.com/dl/android/maven2/.../*.pom) — "The Apache Software License, Version 2.0", checked 2026-09-13
androidx.annotation:annotation-jvm	Apache-2.0	1.9.1	licenses/texts/apache-2.0.txt	-	POM <licenses> of each resolved androidx module on Google Maven (dl.google.com/dl/android/maven2/.../*.pom) — "The Apache Software License, Version 2.0", checked 2026-09-13
androidx.annotation:annotation	Apache-2.0	1.9.1	licenses/texts/apache-2.0.txt	-	POM <licenses> of each resolved androidx module on Google Maven (dl.google.com/dl/android/maven2/.../*.pom) — "The Apache Software License, Version 2.0", checked 2026-09-13
androidx.appcompat:appcompat-resources	Apache-2.0	1.7.0	licenses/texts/apache-2.0.txt	-	POM <licenses> of each resolved androidx module on Google Maven (dl.google.com/dl/android/maven2/.../*.pom) — "The Apache Software License, Version 2.0", checked 2026-09-13
androidx.appcompat:appcompat	Apache-2.0	1.7.0	licenses/texts/apache-2.0.txt	-	POM <licenses> of each resolved androidx module on Google Maven (dl.google.com/dl/android/maven2/.../*.pom) — "The Apache Software License, Version 2.0", checked 2026-09-13
androidx.arch.core:core-common	Apache-2.0	2.2.0	licenses/texts/apache-2.0.txt	-	POM <licenses> of each resolved androidx module on Google Maven (dl.google.com/dl/android/maven2/.../*.pom) — "The Apache Software License, Version 2.0", checked 2026-09-13
androidx.arch.core:core-runtime	Apache-2.0	2.2.0	licenses/texts/apache-2.0.txt	-	POM <licenses> of each resolved androidx module on Google Maven (dl.google.com/dl/android/maven2/.../*.pom) — "The Apache Software License, Version 2.0", checked 2026-09-13
androidx.cardview:cardview	Apache-2.0	1.0.0	licenses/texts/apache-2.0.txt	-	POM <licenses> of each resolved androidx module on Google Maven (dl.google.com/dl/android/maven2/.../*.pom) — "The Apache Software License, Version 2.0", checked 2026-09-13
androidx.collection:collection-jvm	Apache-2.0	1.5.0	licenses/texts/apache-2.0.txt	-	POM <licenses> of each resolved androidx module on Google Maven (dl.google.com/dl/android/maven2/.../*.pom) — "The Apache Software License, Version 2.0", checked 2026-09-13
androidx.collection:collection	Apache-2.0	1.5.0	licenses/texts/apache-2.0.txt	-	POM <licenses> of each resolved androidx module on Google Maven (dl.google.com/dl/android/maven2/.../*.pom) — "The Apache Software License, Version 2.0", checked 2026-09-13
androidx.concurrent:concurrent-futures	Apache-2.0	1.1.0	licenses/texts/apache-2.0.txt	-	POM <licenses> of each resolved androidx module on Google Maven (dl.google.com/dl/android/maven2/.../*.pom) — "The Apache Software License, Version 2.0", checked 2026-09-13
androidx.constraintlayout:constraintlayout-solver	Apache-2.0	2.0.1	licenses/texts/apache-2.0.txt	-	POM <licenses> of each resolved androidx module on Google Maven (dl.google.com/dl/android/maven2/.../*.pom) — "The Apache Software License, Version 2.0", checked 2026-09-13
androidx.constraintlayout:constraintlayout	Apache-2.0	2.0.1	licenses/texts/apache-2.0.txt	-	POM <licenses> of each resolved androidx module on Google Maven (dl.google.com/dl/android/maven2/.../*.pom) — "The Apache Software License, Version 2.0", checked 2026-09-13
androidx.coordinatorlayout:coordinatorlayout	Apache-2.0	1.1.0	licenses/texts/apache-2.0.txt	-	POM <licenses> of each resolved androidx module on Google Maven (dl.google.com/dl/android/maven2/.../*.pom) — "The Apache Software License, Version 2.0", checked 2026-09-13
androidx.core:core-ktx	Apache-2.0	1.15.0	licenses/texts/apache-2.0.txt	-	POM <licenses> of each resolved androidx module on Google Maven (dl.google.com/dl/android/maven2/.../*.pom) — "The Apache Software License, Version 2.0", checked 2026-09-13
androidx.core:core	Apache-2.0	1.15.0	licenses/texts/apache-2.0.txt	-	POM <licenses> of each resolved androidx module on Google Maven (dl.google.com/dl/android/maven2/.../*.pom) — "The Apache Software License, Version 2.0", checked 2026-09-13
androidx.cursoradapter:cursoradapter	Apache-2.0	1.0.0	licenses/texts/apache-2.0.txt	-	POM <licenses> of each resolved androidx module on Google Maven (dl.google.com/dl/android/maven2/.../*.pom) — "The Apache Software License, Version 2.0", checked 2026-09-13
androidx.customview:customview-poolingcontainer	Apache-2.0	1.0.0	licenses/texts/apache-2.0.txt	-	POM <licenses> of each resolved androidx module on Google Maven (dl.google.com/dl/android/maven2/.../*.pom) — "The Apache Software License, Version 2.0", checked 2026-09-13
androidx.customview:customview	Apache-2.0	1.1.0	licenses/texts/apache-2.0.txt	-	POM <licenses> of each resolved androidx module on Google Maven (dl.google.com/dl/android/maven2/.../*.pom) — "The Apache Software License, Version 2.0", checked 2026-09-13
androidx.documentfile:documentfile	Apache-2.0	1.0.0	licenses/texts/apache-2.0.txt	-	POM <licenses> of each resolved androidx module on Google Maven (dl.google.com/dl/android/maven2/.../*.pom) — "The Apache Software License, Version 2.0", checked 2026-09-13
androidx.drawerlayout:drawerlayout	Apache-2.0	1.1.1	licenses/texts/apache-2.0.txt	-	POM <licenses> of each resolved androidx module on Google Maven (dl.google.com/dl/android/maven2/.../*.pom) — "The Apache Software License, Version 2.0", checked 2026-09-13
androidx.dynamicanimation:dynamicanimation	Apache-2.0	1.0.0	licenses/texts/apache-2.0.txt	-	POM <licenses> of each resolved androidx module on Google Maven (dl.google.com/dl/android/maven2/.../*.pom) — "The Apache Software License, Version 2.0", checked 2026-09-13
androidx.emoji2:emoji2-views-helper	Apache-2.0	1.3.0	licenses/texts/apache-2.0.txt	-	POM <licenses> of each resolved androidx module on Google Maven (dl.google.com/dl/android/maven2/.../*.pom) — "The Apache Software License, Version 2.0", checked 2026-09-13
androidx.emoji2:emoji2	Apache-2.0	1.3.0	licenses/texts/apache-2.0.txt	-	POM <licenses> of each resolved androidx module on Google Maven (dl.google.com/dl/android/maven2/.../*.pom) — "The Apache Software License, Version 2.0", checked 2026-09-13
androidx.fragment:fragment	Apache-2.0	1.5.4	licenses/texts/apache-2.0.txt	-	POM <licenses> of each resolved androidx module on Google Maven (dl.google.com/dl/android/maven2/.../*.pom) — "The Apache Software License, Version 2.0", checked 2026-09-13
androidx.interpolator:interpolator	Apache-2.0	1.0.0	licenses/texts/apache-2.0.txt	-	POM <licenses> of each resolved androidx module on Google Maven (dl.google.com/dl/android/maven2/.../*.pom) — "The Apache Software License, Version 2.0", checked 2026-09-13
androidx.legacy:legacy-support-core-utils	Apache-2.0	1.0.0	licenses/texts/apache-2.0.txt	-	POM <licenses> of each resolved androidx module on Google Maven (dl.google.com/dl/android/maven2/.../*.pom) — "The Apache Software License, Version 2.0", checked 2026-09-13
androidx.lifecycle:lifecycle-common-jvm	Apache-2.0	2.8.7	licenses/texts/apache-2.0.txt	-	POM <licenses> of each resolved androidx module on Google Maven (dl.google.com/dl/android/maven2/.../*.pom) — "The Apache Software License, Version 2.0", checked 2026-09-13
androidx.lifecycle:lifecycle-common	Apache-2.0	2.8.7	licenses/texts/apache-2.0.txt	-	POM <licenses> of each resolved androidx module on Google Maven (dl.google.com/dl/android/maven2/.../*.pom) — "The Apache Software License, Version 2.0", checked 2026-09-13
androidx.lifecycle:lifecycle-livedata-core-ktx	Apache-2.0	2.8.7	licenses/texts/apache-2.0.txt	-	POM <licenses> of each resolved androidx module on Google Maven (dl.google.com/dl/android/maven2/.../*.pom) — "The Apache Software License, Version 2.0", checked 2026-09-13
androidx.lifecycle:lifecycle-livedata-core	Apache-2.0	2.8.7	licenses/texts/apache-2.0.txt	-	POM <licenses> of each resolved androidx module on Google Maven (dl.google.com/dl/android/maven2/.../*.pom) — "The Apache Software License, Version 2.0", checked 2026-09-13
androidx.lifecycle:lifecycle-livedata	Apache-2.0	2.8.7	licenses/texts/apache-2.0.txt	-	POM <licenses> of each resolved androidx module on Google Maven (dl.google.com/dl/android/maven2/.../*.pom) — "The Apache Software License, Version 2.0", checked 2026-09-13
androidx.lifecycle:lifecycle-process	Apache-2.0	2.8.7	licenses/texts/apache-2.0.txt	-	POM <licenses> of each resolved androidx module on Google Maven (dl.google.com/dl/android/maven2/.../*.pom) — "The Apache Software License, Version 2.0", checked 2026-09-13
androidx.lifecycle:lifecycle-runtime-android	Apache-2.0	2.8.7	licenses/texts/apache-2.0.txt	-	POM <licenses> of each resolved androidx module on Google Maven (dl.google.com/dl/android/maven2/.../*.pom) — "The Apache Software License, Version 2.0", checked 2026-09-13
androidx.lifecycle:lifecycle-runtime-ktx-android	Apache-2.0	2.8.7	licenses/texts/apache-2.0.txt	-	POM <licenses> of each resolved androidx module on Google Maven (dl.google.com/dl/android/maven2/.../*.pom) — "The Apache Software License, Version 2.0", checked 2026-09-13
androidx.lifecycle:lifecycle-runtime-ktx	Apache-2.0	2.8.7	licenses/texts/apache-2.0.txt	-	POM <licenses> of each resolved androidx module on Google Maven (dl.google.com/dl/android/maven2/.../*.pom) — "The Apache Software License, Version 2.0", checked 2026-09-13
androidx.lifecycle:lifecycle-runtime	Apache-2.0	2.8.7	licenses/texts/apache-2.0.txt	-	POM <licenses> of each resolved androidx module on Google Maven (dl.google.com/dl/android/maven2/.../*.pom) — "The Apache Software License, Version 2.0", checked 2026-09-13
androidx.lifecycle:lifecycle-viewmodel-android	Apache-2.0	2.8.7	licenses/texts/apache-2.0.txt	-	POM <licenses> of each resolved androidx module on Google Maven (dl.google.com/dl/android/maven2/.../*.pom) — "The Apache Software License, Version 2.0", checked 2026-09-13
androidx.lifecycle:lifecycle-viewmodel-savedstate	Apache-2.0	2.8.7	licenses/texts/apache-2.0.txt	-	POM <licenses> of each resolved androidx module on Google Maven (dl.google.com/dl/android/maven2/.../*.pom) — "The Apache Software License, Version 2.0", checked 2026-09-13
androidx.lifecycle:lifecycle-viewmodel	Apache-2.0	2.8.7	licenses/texts/apache-2.0.txt	-	POM <licenses> of each resolved androidx module on Google Maven (dl.google.com/dl/android/maven2/.../*.pom) — "The Apache Software License, Version 2.0", checked 2026-09-13
androidx.loader:loader	Apache-2.0	1.0.0	licenses/texts/apache-2.0.txt	-	POM <licenses> of each resolved androidx module on Google Maven (dl.google.com/dl/android/maven2/.../*.pom) — "The Apache Software License, Version 2.0", checked 2026-09-13
androidx.localbroadcastmanager:localbroadcastmanager	Apache-2.0	1.0.0	licenses/texts/apache-2.0.txt	-	POM <licenses> of each resolved androidx module on Google Maven (dl.google.com/dl/android/maven2/.../*.pom) — "The Apache Software License, Version 2.0", checked 2026-09-13
androidx.print:print	Apache-2.0	1.0.0	licenses/texts/apache-2.0.txt	-	POM <licenses> of each resolved androidx module on Google Maven (dl.google.com/dl/android/maven2/.../*.pom) — "The Apache Software License, Version 2.0", checked 2026-09-13
androidx.profileinstaller:profileinstaller	Apache-2.0	1.3.1	licenses/texts/apache-2.0.txt	-	POM <licenses> of each resolved androidx module on Google Maven (dl.google.com/dl/android/maven2/.../*.pom) — "The Apache Software License, Version 2.0", checked 2026-09-13
androidx.recyclerview:recyclerview	Apache-2.0	1.3.2	licenses/texts/apache-2.0.txt	-	POM <licenses> of each resolved androidx module on Google Maven (dl.google.com/dl/android/maven2/.../*.pom) — "The Apache Software License, Version 2.0", checked 2026-09-13
androidx.resourceinspection:resourceinspection-annotation	Apache-2.0	1.0.1	licenses/texts/apache-2.0.txt	-	POM <licenses> of each resolved androidx module on Google Maven (dl.google.com/dl/android/maven2/.../*.pom) — "The Apache Software License, Version 2.0", checked 2026-09-13
androidx.room:room-common-jvm	Apache-2.0	2.8.4	licenses/texts/apache-2.0.txt	-	POM <licenses> of each resolved androidx module on Google Maven (dl.google.com/dl/android/maven2/.../*.pom) — "The Apache Software License, Version 2.0", checked 2026-09-13
androidx.room:room-common	Apache-2.0	2.8.4	licenses/texts/apache-2.0.txt	-	POM <licenses> of each resolved androidx module on Google Maven (dl.google.com/dl/android/maven2/.../*.pom) — "The Apache Software License, Version 2.0", checked 2026-09-13
androidx.room:room-ktx	Apache-2.0	2.8.4	licenses/texts/apache-2.0.txt	-	POM <licenses> of each resolved androidx module on Google Maven (dl.google.com/dl/android/maven2/.../*.pom) — "The Apache Software License, Version 2.0", checked 2026-09-13
androidx.room:room-runtime-android	Apache-2.0	2.8.4	licenses/texts/apache-2.0.txt	-	POM <licenses> of each resolved androidx module on Google Maven (dl.google.com/dl/android/maven2/.../*.pom) — "The Apache Software License, Version 2.0", checked 2026-09-13
androidx.room:room-runtime	Apache-2.0	2.8.4	licenses/texts/apache-2.0.txt	-	POM <licenses> of each resolved androidx module on Google Maven (dl.google.com/dl/android/maven2/.../*.pom) — "The Apache Software License, Version 2.0", checked 2026-09-13
androidx.savedstate:savedstate	Apache-2.0	1.2.1	licenses/texts/apache-2.0.txt	-	POM <licenses> of each resolved androidx module on Google Maven (dl.google.com/dl/android/maven2/.../*.pom) — "The Apache Software License, Version 2.0", checked 2026-09-13
androidx.sqlite:sqlite-android	Apache-2.0	2.6.2	licenses/texts/apache-2.0.txt	-	POM <licenses> of each resolved androidx module on Google Maven (dl.google.com/dl/android/maven2/.../*.pom) — "The Apache Software License, Version 2.0", checked 2026-09-13
androidx.sqlite:sqlite-framework-android	Apache-2.0	2.6.2	licenses/texts/apache-2.0.txt	-	POM <licenses> of each resolved androidx module on Google Maven (dl.google.com/dl/android/maven2/.../*.pom) — "The Apache Software License, Version 2.0", checked 2026-09-13
androidx.sqlite:sqlite-framework	Apache-2.0	2.6.2	licenses/texts/apache-2.0.txt	-	POM <licenses> of each resolved androidx module on Google Maven (dl.google.com/dl/android/maven2/.../*.pom) — "The Apache Software License, Version 2.0", checked 2026-09-13
androidx.sqlite:sqlite	Apache-2.0	2.6.2	licenses/texts/apache-2.0.txt	-	POM <licenses> of each resolved androidx module on Google Maven (dl.google.com/dl/android/maven2/.../*.pom) — "The Apache Software License, Version 2.0", checked 2026-09-13
androidx.startup:startup-runtime	Apache-2.0	1.1.1	licenses/texts/apache-2.0.txt	-	POM <licenses> of each resolved androidx module on Google Maven (dl.google.com/dl/android/maven2/.../*.pom) — "The Apache Software License, Version 2.0", checked 2026-09-13
androidx.tracing:tracing	Apache-2.0	1.2.0	licenses/texts/apache-2.0.txt	-	POM <licenses> of each resolved androidx module on Google Maven (dl.google.com/dl/android/maven2/.../*.pom) — "The Apache Software License, Version 2.0", checked 2026-09-13
androidx.transition:transition	Apache-2.0	1.5.0	licenses/texts/apache-2.0.txt	-	POM <licenses> of each resolved androidx module on Google Maven (dl.google.com/dl/android/maven2/.../*.pom) — "The Apache Software License, Version 2.0", checked 2026-09-13
androidx.vectordrawable:vectordrawable-animated	Apache-2.0	1.1.0	licenses/texts/apache-2.0.txt	-	POM <licenses> of each resolved androidx module on Google Maven (dl.google.com/dl/android/maven2/.../*.pom) — "The Apache Software License, Version 2.0", checked 2026-09-13
androidx.vectordrawable:vectordrawable	Apache-2.0	1.1.0	licenses/texts/apache-2.0.txt	-	POM <licenses> of each resolved androidx module on Google Maven (dl.google.com/dl/android/maven2/.../*.pom) — "The Apache Software License, Version 2.0", checked 2026-09-13
androidx.versionedparcelable:versionedparcelable	Apache-2.0	1.1.1	licenses/texts/apache-2.0.txt	-	POM <licenses> of each resolved androidx module on Google Maven (dl.google.com/dl/android/maven2/.../*.pom) — "The Apache Software License, Version 2.0", checked 2026-09-13
androidx.viewpager2:viewpager2	Apache-2.0	1.1.0-beta02	licenses/texts/apache-2.0.txt	-	POM <licenses> of each resolved androidx module on Google Maven (dl.google.com/dl/android/maven2/.../*.pom) — "The Apache Software License, Version 2.0", checked 2026-09-13
androidx.viewpager:viewpager	Apache-2.0	1.0.0	licenses/texts/apache-2.0.txt	-	POM <licenses> of each resolved androidx module on Google Maven (dl.google.com/dl/android/maven2/.../*.pom) — "The Apache Software License, Version 2.0", checked 2026-09-13
com.google.android.material:material	Apache-2.0	1.12.0	licenses/texts/apache-2.0.txt	-	POM <licenses> on Google Maven — "The Apache Software License, Version 2.0", checked 2026-09-13
com.google.code.gson:gson	Apache-2.0	2.11.0	licenses/texts/apache-2.0.txt	-	POM <licenses> on Maven Central — "Apache-2.0", checked 2026-09-13
com.google.errorprone:error_prone_annotations	Apache-2.0	2.27.0	licenses/texts/apache-2.0.txt	-	POM <licenses> on Maven Central — "Apache 2.0", checked 2026-09-13
com.google.guava:listenablefuture	Apache-2.0	1.0	licenses/texts/apache-2.0.txt	-	Its own POM declares no licence; its parent guava-parent:26.0-android declares "The Apache Software License, Version 2.0" (Maven Central), checked 2026-09-13
net.java.dev.jna:jna	LGPL-2.1-or-later OR Apache-2.0 (Apache-2.0 elected)	5.14.0	licenses/texts/apache-2.0.txt,licenses/texts/lgpl-2.1.txt	licenses/notices/jna.txt	POM <licenses> on Maven Central declares both; the app uses the Apache-2.0 option — see the notice
org.jetbrains.kotlin:kotlin-bom	Apache-2.0	1.8.22	licenses/texts/apache-2.0.txt	-	POM <licenses> on Maven Central — "The Apache License, Version 2.0" (kotlin-bom and kotlin-stdlib), checked 2026-09-13
org.jetbrains.kotlin:kotlin-stdlib	Apache-2.0	2.2.10	licenses/texts/apache-2.0.txt	-	POM <licenses> on Maven Central — "The Apache License, Version 2.0" (kotlin-bom and kotlin-stdlib), checked 2026-09-13
