㐀	丘
㐅	五
㐫	凶
㐮	襄
㐯	庸
㐴	攀
㐵	儒
㑄	侮
㒇	儛
㒋	厮
㒋	廝
㒚	穩
㒰	全
㒲	財
㒷	興
㓁	網
㓮	彫
㓮	雕
㓷	劓
㓸	斲
㔱	斞
㕚	爪
㕞	刷
㗖	啖
㗖	啗
㗖	噉
㗳	嗒
㘅	啣
㘅	銜
㘽	栽
㙮	塔
㙳	轗
㚝	奎
㚣	姣
㛛	娠
㝃	娩
㝦	寯
㝵	碍
㝵	礙
㞐	居
㟗	豳
㟗	邠
㟢	埼
㟢	崎
㟢	嵜
㟢	碕
㟢	陭
㠊	嶇
㡿	斥
㢴	西
㣶	邅
㣺	心
㣼	忍
㤒	笨
㤵	慈
㥃	悶
㥃	懣
㥵	慁
㦧	憯
㧃	收
㧖	扼
㧖	搤
㧜	擸
㨉	抿
㨼	撂
㩁	搉
㩜	擥
㩜	攬
㪅	更
㪯	舉
㫃	偃
㫎	幑
㫚	昒
㫚	曶
㬅	曼
㬱	朁
㭒	耜
㭨	椰
㯃	桼
㯃	漆
㯭	櫓
㯶	棕
㯽	檳
㰍	櫳
㱿	壳
㱿	殼
㴑	溯
㵒	沸
㷉	熨
㷠	燐
㷠	粦
㷻	煳
㽣	域
㽽	痼
㿟	皎
㿟	皦
㿷	糙
䀋	鹽
䀠	瞿
䀡	覘
䀢	瞬
䀹	睫
䂫	夯
䃉	珉
䃘	硜
䄃	殃
䄍	蜡
䄺	稊
䆋	秋
䆫	窓
䆫	窗
䆼	窠
䈇	罩
䉵	饌
䊜	糰
䋲	繩
䌥	縯
䌫	纜
䏕	飪
䐰	饈
䒒	苕
䕌	稚
䕭	蕁
䖈	虐
䖍	虔
䖏	処
䖏	處
䖟	蝱
䖣	蚤
䗦	䗬
䘺	綻
䙝	褻
䛡	話
䛻	誘
䛼	譭
䜊	嘈
䜶	豇
䝋	豵
䝜	狻
䝤	獠
䞓	赬
䠊	剕
䠱	躅
䢙	敗
䢜	歸
䣩	醇
䤠	鍺
䥀	捵
䥨	鑢
䦓	覘
䨘	霰
䩞	韂
䪿	囟
䬒	颼
䬡	翥
䭾	馱
䯌	尻
䯻	髻
䰗	鬮
䰞	煮
䱇	鱓
䱷	漁
䱽	鯧
䳘	鵝
䴸	麩
䴹	餜
䶏	涕
乚	隱
乾	干
亁	乾
了	瞭
亗	岁
亗	歲
亝	齊
亻	人
亼	集
仾	低
來	来
侎	敉
俈	嚳
俠	侠
俻	備
倂	併
偒	蕩
傁	叟
傏	搪
儍	傻
儭	襯
兦	亡
冋	冂
冋	坰
册	冊
冩	写
冫	冰
冫	氷
凂	浼
准	準
凉	涼
凣	凡
凴	憑
凾	函
凾	圅
刅	創
刋	刊
刴	剁
剝	剥
剦	閹
劎	劔
劒	劍
勄	敏
勹	包
匘	腦
匧	篋
匳	奩
匵	櫝
卄	廿
卭	卬
厪	廑
厶	某
厷	肱
叅	參
叜	叟
叴	厹
后	後
吿	告
呠	噴
呠	歕
呡	吻
哴	喨
唊	硤
喐	郁
噐	器
噑	嚎
噓	嘘
嚮	向
囑	嘱
囘	回
囬	回
國	国
圕	圖
圝	圞
坂	阪
坆	墳
堭	隍
塐	塑
墤	隤
墰	罈
壍	塹
壜	罈
壽	寿
夅	降
夣	夢
奞	奎
娬	嫵
媍	婦
學	学
孾	嬰
宐	宜
宻	密
宼	寇
寚	宝
寚	寳
寫	写
寶	宝
尀	叵
將	将
尣	尢
尲	尷
尸	屍
屆	届
屬	属
峽	峡
崪	崒
嵠	谿
嶎	蔚
巤	鬣
帋	紙
帒	袋
帲	帡
干	乾
并	併
庅	麼
庅	麽
廀	廋
彌	弥
彑	彐
徤	健
忄	心
怌	懷
悋	吝
悋	恡
惽	惛
愻	遜
慙	慚
懜	懵
戀	恋
扌	手
扵	于
扵	亏
扵	於
抍	拯
挭	骾
挭	鯁
挷	搒
挾	挟
捓	揶
捝	挩
捬	撫
搃	摠
搃	總
搇	撳
摑	掴
摣	揸
撆	撇
撍	揝
撘	搭
擃	攮
攅	攢
攵	攴
敃	暋
敚	敓
敠	敪
斆	鏰
斈	学
斚	斝
斾	旆
旈	旒
旘	幟
无	無
旪	協
旹	时
旹	時
昻	昂
晝	昼
會	会
朙	明
杸	殳
枬	楠
枾	柹
栖	棲
栛	荔
梹	檳
棅	柄
棥	樊
榝	樧
槖	橐
槪	㮣
樐	櫓
樓	楼
樚	轆
樷	叢
樸	朴
橆	無
橊	榴
檴	穫
欓	檔
欝	鬱
欼	啜
欼	歠
歗	嘯
歱	踵
歺	歹
氜	阳
氜	陽
氥	氙
氭	氡
氵	水
氼	溺
沲	沱
涚	涗
涶	唾
渊	淵
湌	餐
湏	須
滺	悠
潛	潜
潣	浼
潨	漎
澷	漫
濤	涛
濵	濱
濵	瀕
瀒	澀
瀒	濇
灑	洒
灣	湾
灬	火
烕	滅
烟	煙
焧	熜
燈	灯
燺	熇
爫	爪
牜	牛
犭	犬
犲	豺
狵	尨
甆	瓷
甎	磚
甤	蕤
畄	留
畄	畱
畆	畝
當	当
痮	脹
瘂	啞
瘨	癲
瘶	嗽
癢	痒
皃	貌
皡	皞
皥	皞
盙	簠
眎	視
瞯	瞷
瞹	曖
砇	珉
碯	瑙
磇	砒
磒	隕
礟	礮
礶	罐
礻	示
祿	禄
禀	稟
禦	御
禪	禅
禮	礼
禱	祷
秄	耔
秇	埶
秇	蓺
秇	藝
秌	秋
秐	耘
穪	偁
穪	稱
竆	窮
竒	奇
笋	筍
篢	槓
簛	篩
簛	簁
簞	箪
籄	簣
籄	蕢
籑	饌
粮	糧
糓	穀
糡	糨
糤	饊
絚	緪
絥	鞴
綂	統
緫	總
縆	緪
纎	纖
缻	缶
罁	堈
罁	缸
网	網
羮	羹
耻	恥
耼	聃
聦	聰
聲	声
肈	肇
肬	疣
肳	吻
脉	脈
脺	膵
腁	胼
膓	腸
舃	舄
舊	旧
舓	舐
艢	檣
艥	楫
艥	檝
艪	櫓
苢	苡
苿	茉
莀	農
莖	茎
萬	万
葁	姜
著	着
葢	盖
葢	蓋
薑	姜
蘯	盪
蘯	蕩
蘽	藟
號	号
蚦	蚺
蜝	蜞
蜶	蟀
蜹	蚋
螆	蚝
螆	蛓
蟚	蟛
蟬	蝉
蟲	虫
蠶	蚕
衤	衣
裌	袷
褃	裉
褏	褎
褺	褻
襉	襇
襍	雜
襵	褶
覉	羇
覊	羈
覐	覺
覔	覓
覥	靦
覰	覷
觧	解
觵	觥
訠	矧
訦	諶
註	注
訽	詬
詋	呪
詤	謊
詾	訩
誐	哦
誩	競
諁	啜
諊	鞫
諩	譜
讁	謫
讍	諤
讛	囈
豓	艶
豓	豔
豘	豚
豣	豜
豴	蹢
賍	贓
賍	贜
賷	齎
贃	賺
贒	賢
趒	跳
趦	趑
踁	硜
蹮	躚
蹹	蹋
躛	躗
躧	屣
躧	蹝
躱	躲
躷	矮
軄	職
軆	体
軰	輩
輓	挽
輙	輒
輧	軿
辤	辞
辤	辭
辶	辵
迊	匝
迊	帀
迯	逃
迹	跡
逷	逖
遉	偵
遙	遥
遟	遲
鄕	郷
鄕	鄉
醡	榨
醩	糟
釐	厘
釒	金
銁	鈞
銒	鈃
鋑	鐫
鋑	鑴
鍫	鍬
鎋	轄
鎙	槊
鏁	鎖
鏥	銹
鏥	鏽
閙	鬧
闗	関
闗	關
阧	陡
隂	陰
隖	塢
隝	塢
雙	双
霡	霢
霥	濛
靀	濛
靝	天
鞉	鞀
鞉	鼗
鞟	鞹
韈	襪
韒	鞘
韤	襪
頋	顧
頟	額
頣	頤
顖	囟
颱	台
飃	飄
飇	猋
飇	颮
飇	飆
飠	食
飤	飼
飦	饘
餘	余
餙	飾
馿	驢
駞	駝
駦	騰
騈	駢
騐	驗
騗	騙
騘	驄
驘	騾
骻	胯
髗	顱
髠	髡
髤	髹
髩	鬢
鬂	鬢
鬦	鬥
鬭	鬥
鬴	釜
鬽	魅
鮧	鯷
鱑	鰉
鳮	雞
鳮	鷄
鴺	鵜
鵶	鴉
鶃	鶂
鶽	隼
鸎	鶯
麄	粗
麄	觕
麄	麤
麕	麇
麫	麵
麴	麹
麸	麩
點	点
鼄	蛛
鼔	皷
鼔	鼓
齅	嗅
龡	吹
龥	籲
鿌	涼
﨑	埼
﨑	崎
﨑	嵜
﨑	碕
﨑	陭
益	益
礼	礼
